,precision,recall,f1-score,support
Apple 6,0.9985632183908046,0.9971305595408895,0.9978463747307968,697.0
Apple Braeburn 1,0.9934810951760105,0.9973821989528796,0.9954278249510123,764.0
Apple Crimson Snow 1,0.9872408293460925,0.9951768488745981,0.9911929543634908,622.0
Apple Golden 1,0.9972677595628415,0.9945504087193461,0.9959072305593452,734.0
Apple Golden 2,0.9958217270194986,0.9986033519553073,0.99721059972106,716.0
Apple Golden 3,0.998587570621469,0.9874301675977654,0.9929775280898877,716.0
Apple Granny Smith 1,0.9962121212121212,0.9974715549936789,0.9968414403032217,791.0
Apple Pink Lady 1,0.9945054945054945,0.9958734525447043,0.9951890034364261,727.0
Apple Red 1,1.0,0.9904109589041096,0.99518238128011,730.0
Apple Red 2,1.0,0.9918367346938776,0.9959016393442623,735.0
Apple Red 3,0.9910581222056631,0.9984984984984985,0.9947643979057591,666.0
Apple Red Delicious 1,0.9986789960369881,0.9986789960369881,0.9986789960369881,757.0
Apple Red Yellow 1,0.9986807387862797,0.9934383202099738,0.9960526315789475,762.0
Apple Red Yellow 2,0.9938650306748467,0.997946611909651,0.9959016393442623,974.0
Apple hit 1,0.9990243902439024,0.9961089494163424,0.997564539698003,1028.0
Apricot 1,0.9811320754716981,0.998719590268886,0.9898477157360406,781.0
Avocado 1,0.9984591679506933,0.9818181818181818,0.9900687547746371,660.0
Avocado ripe 1,0.9943422913719944,0.9957507082152974,0.9950460014154282,706.0
Banana 1,1.0,1.0,1.0,699.0
Banana Lady Finger 1,1.0,0.997037037037037,0.9985163204747775,675.0
Banana Red 1,1.0,0.998641304347826,0.9993201903467028,736.0
Beetroot 1,0.9984962406015038,0.996996996996997,0.9977460555972953,666.0
Blueberry 1,0.9954407294832827,0.9879336349924586,0.9916729750189252,663.0
Cabbage white 1,1.0,1.0,1.0,239.0
Cactus fruit 1,0.9987293519695044,0.9974619289340102,0.998095238095238,788.0
Cantaloupe 1,0.9986168741355463,1.0,0.9993079584775086,722.0
Cantaloupe 2,0.9972222222222222,0.9958391123439667,0.996530187369882,721.0
Carambula 1,1.0,0.9944598337950139,0.9972222222222222,722.0
Carrot 1,1.0,1.0,1.0,239.0
Cauliflower 1,0.9950248756218906,0.999000999000999,0.9970089730807578,1001.0
Cherry 1,1.0,0.9959568733153639,0.9979743416610398,742.0
Cherry 2,0.9972552607502287,0.9963436928702011,0.9967992684042067,1094.0
Cherry Rainier 1,0.998286203941731,0.998286203941731,0.998286203941731,1167.0
Cherry Wax Black 1,1.0,1.0,1.0,710.0
Cherry Wax Red 1,0.9893475366178429,0.9946452476572959,0.9919893190921228,747.0
Cherry Wax Yellow 1,1.0,1.0,1.0,761.0
Chestnut 1,1.0,0.9879154078549849,0.9939209726443768,662.0
Clementine 1,0.9972789115646259,0.994572591587517,0.9959239130434784,737.0
Cocos 1,0.9971988795518207,0.9985974754558204,0.9978976874562018,713.0
Corn 1,1.0,0.9954614220877458,0.9977255496588324,661.0
Corn Husk 1,0.9985569985569985,0.9985569985569985,0.9985569985569985,693.0
Cucumber 1,1.0,1.0,1.0,204.0
Cucumber 3,1.0,1.0,1.0,345.0
Cucumber Ripe 1,0.9965397923875432,0.9982668977469671,0.9974025974025974,577.0
Cucumber Ripe 2,0.9913544668587896,0.9885057471264368,0.9899280575539569,696.0
Dates 1,0.9986320109439124,0.9931972789115646,0.9959072305593452,735.0
