,precision,recall,f1-score,support
Apple 6,0.9543568464730291,0.9899569583931134,0.9718309859154931,697.0
Apple Braeburn 1,0.9335006273525721,0.9738219895287958,0.9532351057014734,764.0
Apple Crimson Snow 1,0.9292452830188679,0.9501607717041801,0.9395866454689984,622.0
Apple Golden 1,0.9878048780487805,0.9931880108991825,0.9904891304347826,734.0
Apple Golden 2,0.9671682626538988,0.9874301675977654,0.9771941948859709,716.0
Apple Golden 3,0.9814814814814815,0.9622905027932961,0.9717912552891397,716.0
Apple Granny Smith 1,0.9810844892812106,0.9835651074589128,0.9823232323232324,791.0
Apple Pink Lady 1,0.9689265536723164,0.9436038514442916,0.9560975609756097,727.0
Apple Red 1,0.9560585885486018,0.9835616438356164,0.9696151249155975,730.0
Apple Red 2,0.9678714859437751,0.9836734693877551,0.9757085020242915,735.0
Apple Red 3,0.9939024390243902,0.978978978978979,0.9863842662632375,666.0
Apple Red Delicious 1,0.9921052631578947,0.9960369881109643,0.9940672379696771,757.0
Apple Red Yellow 1,0.977922077922078,0.9881889763779528,0.9830287206266318,762.0
Apple Red Yellow 2,0.9888211382113821,0.9989733059548255,0.9938712972420838,974.0
Apple hit 1,0.9873046875,0.9834630350194552,0.9853801169590642,1028.0
Apricot 1,0.9758269720101781,0.9820742637644047,0.9789406509253351,781.0
Avocado 1,0.9774096385542169,0.9833333333333333,0.9803625377643505,660.0
Avocado ripe 1,0.9777158774373259,0.9943342776203966,0.9859550561797753,706.0
Banana 1,0.9886363636363636,0.9957081545064378,0.99215965787598,699.0
Banana Lady Finger 1,0.9955357142857143,0.9911111111111112,0.9933184855233853,675.0
Banana Red 1,0.994535519125683,0.9891304347826086,0.9918256130790191,736.0
Beetroot 1,0.9984871406959153,0.990990990990991,0.9947249434815373,666.0
Blueberry 1,0.9817351598173516,0.9728506787330317,0.9772727272727273,663.0
Cabbage white 1,0.9957983193277311,0.9916317991631799,0.9937106918238993,239.0
Cactus fruit 1,0.9936788874841972,0.9974619289340102,0.9955668144395188,788.0
Cantaloupe 1,0.9958217270194986,0.9903047091412742,0.9930555555555555,722.0
Cantaloupe 2,0.9767441860465116,0.9902912621359223,0.9834710743801652,721.0
Carambula 1,0.9972260748959778,0.9958448753462604,0.9965349965349966,722.0
Carrot 1,0.99581589958159,0.99581589958159,0.99581589958159,239.0
Cauliflower 1,0.999,0.998001998001998,0.9985007496251873,1001.0
Cherry 1,0.9932157394843962,0.9865229110512129,0.9898580121703855,742.0
Cherry 2,0.9570277529095792,0.9771480804387569,0.9669832654907281,1094.0
Cherry Rainier 1,0.9627749576988156,0.9751499571550986,0.9689229459344403,1167.0
Cherry Wax Black 1,0.9971830985915493,0.9971830985915493,0.9971830985915493,710.0
Cherry Wax Red 1,0.9932523616734144,0.9852744310575636,0.989247311827957,747.0
Cherry Wax Yellow 1,0.9883116883116884,1.0,0.9941214892227302,761.0
Chestnut 1,0.975867269984917,0.9773413897280967,0.9766037735849058,662.0
Clementine 1,0.9862825788751715,0.9755766621438263,0.9809004092769441,737.0
Cocos 1,0.9887640449438202,0.9873772791023843,0.9880701754385965,713.0
Corn 1,1.0,0.9954614220877458,0.9977255496588324,661.0
Corn Husk 1,0.9985569985569985,0.9985569985569985,0.9985569985569985,693.0
Cucumber 1,1.0,1.0,1.0,204.0
Cucumber 3,1.0,1.0,1.0,345.0
Cucumber Ripe 1,0.9982547993019197,0.9913344887348353,0.9947826086956523,577.0
Cucumber Ripe 2,0.9955947136563876,0.9741379310344828,0.9847494553376905,696.0
Dates 1,0.9945205479452055,0.9877551020408163,0.9911262798634812,735.0
Eggplant 1,0.9844192634560907,0.9985632183908046,0.9914407988587732,696.0
Eggplant long 1,1.0,1.0,1.0,315.0
Fig 1,0.99800796812749,0.9901185770750988,0.9940476190476191,1012.0
Ginger Root 1,0.9912280701754386,0.9868995633187773,0.9890590809628008,458.0
Granadilla 1,0.9986033519553073,0.976775956284153,0.9875690607734806,732.0
Grape Blue 1,0.9760051880674449,0.9855926653569089,0.9807754969045293,1527.0
Grape Pink 1,0.992867332382311,0.9844413012729845,0.9886363636363636,707.0
Grape White 1,0.9493333333333334,0.9888888888888889,0.9687074829931973,720.0
Grape White 2,0.9733688415446072,0.9851752021563343,0.9792364367046216,742.0
Grape White 3,0.9883268482490273,0.996078431372549,0.9921875,765.0
Grape White 4,0.9595300261096605,1.0,0.9793471019320452,735.0
Grapefruit Pink 1,0.9892183288409704,0.9959294436906377,0.9925625422582827,737.0
Grapefruit White 1,0.989501312335958,0.9908015768725361,0.9901510177281682,761.0
Guava 1,0.9862258953168044,0.9862258953168044,0.9862258953168044,726.0
Hazelnut 1,0.9970887918486172,0.9985422740524781,0.9978150036416606,686.0
Huckleberry 1,1.0,0.9986859395532195,0.9993425378040763,761.0
Kaki 1,0.9845938375350141,0.9943422913719944,0.9894440534834624,707.0
Kiwi 1,0.9886039886039886,0.9747191011235955,0.9816124469589816,712.0
Kohlrabi 1,0.9971751412429378,0.9915730337078652,0.9943661971830987,712.0
Kumquats 1,0.9725274725274725,0.9874476987447699,0.9799307958477509,717.0
Lemon 1,0.9699453551912568,0.984743411927878,0.9772883688919476,721.0
Lemon Meyer 1,0.9868766404199475,0.9715762273901809,0.9791666666666665,774.0
Limes 1,1.0,0.9837618403247632,0.9918144611186903,739.0
Lychee 1,0.9986789960369881,0.9960474308300395,0.9973614775725594,759.0
Mandarine 1,0.9913793103448276,0.9899569583931134,0.9906676238334531,697.0
Mango 1,0.9986244841815681,0.9945205479452055,0.9965682910089225,730.0
Mango Red 1,0.9793650793650793,0.9477726574500768,0.9633099141295863,651.0
Mangostan 1,0.9975728155339806,0.9832535885167464,0.9903614457831325,418.0
Maracuja 1,0.9803664921465969,0.9855263157894737,0.9829396325459318,760.0
Melon Piel de Sapo 1,0.9944802207911684,0.9881170018281535,0.9912883998165979,1094.0
Mulberry 1,1.0,0.9972489683631361,0.9986225895316804,727.0
